conversation_id,use_case,outcome,sender_id,user_message,bot_message,created_time,intent,entities
190,,,4251317114908612,,"Chào Trương Đình Đình, mình là trợ lý ảo của Shop Gấu & Bí Ngô, mình giúp gì được bạn ạ?",2020-07-17 15:21:27,,
190,uc_s1,,4251317114908612,Cho mình hỏi sp này còn k ạ? ,,2020-07-17 15:22:15,query_knowledge_base,"https://scontent.xx.fbcdn.net/v/t1.15752-9/109071490_989408488179123_2557690915713792947_n.jpg?_nc_cat=104&_nc_sid=b96e70&_nc_ohc=rhh7Vk-B5mkAX9EXJjW&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=5f77eb85dc7aed572672893bcb9b700c&oe=5F361759,sp này,"
190,,silence,4251317114908612,,"Dạ, bạn chờ trong ít phút shop kiểm tra kho hàng rồi báo lại bạn ngay ạ! ^^",2020-07-17 15:22:18,,
226,,,3099415966808586,/start_conversation,,2020-07-14 12:47:43,start_conversation,
226,,,3099415966808586,,"Chào Trương Tuyền, mình là trợ lý ảo của Shop Gấu & Bí Ngô, mình giúp gì được bạn ạ?",2020-07-14 12:47:44,,
226,,,3099415966808586,👋🏻,,2020-07-14 12:47:53,ignore,
226,uc_s1,,3099415966808586,Cho e hỏi bên mình còn sản phẩm này ko ạ ,,2020-07-15 01:36:20,query_knowledge_base,"https://scontent.xx.fbcdn.net/v/t1.15752-9/109868122_675328076391315_1649207026110575466_n.jpg?_nc_cat=104&_nc_sid=b96e70&_nc_oc=AQk-gtjA4ONRwzEHKOVTNGvYgrbgz2QTy2RMOyMmAHjZ8niD6IV5KFbQ-4Pvq6ZIljNrLRgKszoIXFA8k405gnaW&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=5a607d939e1391c4908697395154e233&oe=5F345495,sản phẩm này,"
226,,silence,3099415966808586,,"Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",2020-07-15 01:36:22,,
226,,,3099415966808586,,,2020-07-15 01:36:22,,
226,,,3099415966808586,,,2020-07-15 01:36:22,,
